Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status
231391,Influenza - Avian,;H5N8 HPAI;,34.9947,34.0431,PARALIMNi,Cyprus,Asia,2017-09-20T00:00:00Z,2017-10-24T00:00:00Z,"Wild,Eurasian buzzard (common buzzard) (Buteo buteo),",WOAH (former OIE),,,Confirmed
337075,Influenza - Avian,;H5N1 HPAI;,35.019846,33.974689,Paralimni,Cyprus,Asia,2022-11-24T00:00:00Z,2022-12-09T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
337074,Influenza - Avian,;H5N1 HPAI;,35.020815,33.987459,Paralimni 1,Cyprus,Asia,2022-11-24T00:00:00Z,2022-12-09T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
355160,Influenza - Avian,;H5N1 HPAI;,57.497934,22.819242,Rojas parish,Latvia,Europe,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
305918,Influenza - Avian,;H5N1 HPAI;,57.408129,22.942199,Rojas county,Latvia,Europe,2021-06-02T00:00:00Z,2021-11-02T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
355158,Influenza - Avian,;H5N1 HPAI;,57.243308,22.584178,Talsi city,Latvia,Europe,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
356560,Influenza - Avian,;H5N1 HPAI;,57.28137,22.6412,LAIDZES PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",WOAH (former OIE),,,Confirmed
296764,Influenza - Avian,;H5N1 HPAI;,57.408129,22.942199,Rojas county,Latvia,Europe,2021-06-02T00:00:00Z,2021-06-07T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
355355,Influenza - Avian,;H5N1 HPAI;,57.50415,22.806695,Roja ,Latvia,Europe,2023-05-26T00:00:00Z,2023-06-08T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
355354,Influenza - Avian,;H5N1 HPAI;,57.450985,22.898855,Rojas parish,Latvia,Europe,2023-05-28T00:00:00Z,2023-06-08T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
305298,Influenza - Avian,;H5N1 HPAI;,57.408129,22.942199,Rojas county,Latvia,Europe,2021-06-02T00:00:00Z,2021-10-19T00:00:00Z,"Wild,Gull,",WOAH (former OIE),,,Confirmed
356594,Influenza - Avian,;H5N1 HPAI;,57.337,23.129,M RSRAGA PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",WOAH (former OIE),,,Confirmed
356563,Influenza - Avian,;H5N1 HPAI;,57.437238,22.910262,ROJAS PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",WOAH (former OIE),,,Confirmed
355352,Influenza - Avian,;H5N1 HPAI;,57.4529,22.894762,Rojas parish,Latvia,Europe,2023-05-29T00:00:00Z,2023-06-08T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),,,Confirmed
211764,Influenza - Avian,;H7N3 HPAI;,18.555901,-97.578908,Tepanco de López,Mexico,Americas,2016-02-05T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
386764,Influenza - Avian,;H7N3 HPAI;,18.5011,-97.4627,134158 TEHUACÁN,Mexico,Americas,2024-03-30T00:00:00Z,2024-08-21T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211870,Influenza - Avian,;H7N3 HPAI;,18.555901,-97.578922,Tepanco de López,Mexico,Americas,2016-04-05T00:00:00Z,2016-04-22T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
343748,Influenza - Avian,;H5N1 HPAI;,19.0048,-98.1892,Puebla,Mexico,Americas,2022-11-26T00:00:00Z,2023-02-02T00:00:00Z,"Wild,Snow goose (Anser caerulescens),",WOAH (former OIE),,,Confirmed
211869,Influenza - Avian,;H7N3 HPAI;,19.796812,-97.303159,Jalacingo,Mexico,Americas,2016-04-05T00:00:00Z,2016-04-22T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
211769,Influenza - Avian,;H7N3 HPAI;,19.056651,-98.227617,Tlahuapan,Mexico,Americas,2016-03-07T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
366713,Influenza - Avian,;H7N3 HPAI;,18.33549,-97.148205,OB_127401 - ZINACATEPEC,Mexico,Americas,2022-04-05T00:00:00Z,2023-11-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211774,Influenza - Avian,;H7N3 HPAI;,18.501734,-97.290166,San Antonio Cañada,Mexico,Americas,2016-03-18T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211777,Influenza - Avian,;H7N3 HPAI;,18.715895,-97.306,Acultzingo,Mexico,Americas,2016-03-23T00:00:00Z,2016-04-08T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211097,Influenza - Avian,;H7N3 HPAI;,18.836419,-97.820526,Tochtepec,Mexico,Americas,2016-02-15T00:00:00Z,2016-03-03T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
366707,Influenza - Avian,;H7N3 HPAI;,18.360698,-97.055381,OB_127408 - AJALPAN,Mexico,Americas,2023-05-03T00:00:00Z,2023-11-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
366703,Influenza - Avian,;H7N3 HPAI;,18.37855,-97.258476,OB_127412 - AJALPAN,Mexico,Americas,2022-06-28T00:00:00Z,2023-11-13T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
386759,Influenza - Avian,;H7N3 HPAI;,18.328774,-97.251079,137166 ZINACATEPEC,Mexico,Americas,2024-05-03T00:00:00Z,2024-08-21T00:00:00Z,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed
211873,Influenza - Avian,;H7N3 HPAI;,18.555901,-97.578911,Tepanco de López,Mexico,Americas,2016-04-20T00:00:00Z,2016-04-22T00:00:00Z,"Domestic,Chicken,",WOAH (former OIE),,,Confirmed
