Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status,Cleaned_Species,Last_Word,Habitat
355160,Influenza - Avian,;H5N1 HPAI;,57.497934,22.819242,Rojas parish,Latvia,Europe,2023-05-24T00:00:00Z,2023-06-05T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Herring Gull,gull,SB
305918,Influenza - Avian,;H5N1 HPAI;,57.408129,22.942199,Rojas county,Latvia,Europe,2021-06-02T00:00:00Z,2021-11-02T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Herring Gull,gull,SB
355158,Influenza - Avian,;H5N1 HPAI;,57.243308,22.584178,Talsi city,Latvia,Europe,2023-05-29T00:00:00Z,2023-06-05T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Herring Gull,gull,SB
356560,Influenza - Avian,;H5N1 HPAI;,57.28137,22.6412,LAIDZES PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Laridae,laridae,SB
296764,Influenza - Avian,;H5N1 HPAI;,57.408129,22.942199,Rojas county,Latvia,Europe,2021-06-02T00:00:00Z,2021-06-07T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Herring Gull,gull,SB
355355,Influenza - Avian,;H5N1 HPAI;,57.50415,22.806695,Roja,Latvia,Europe,2023-05-26T00:00:00Z,2023-06-08T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Herring Gull,gull,SB
355354,Influenza - Avian,;H5N1 HPAI;,57.450985,22.898855,Rojas parish,Latvia,Europe,2023-05-28T00:00:00Z,2023-06-08T00:00:00Z,"Wild,Herring Gull:Larus argentatus(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Herring Gull,gull,SB
305298,Influenza - Avian,;H5N1 HPAI;,57.408129,22.942199,Rojas county,Latvia,Europe,2021-06-02T00:00:00Z,2021-10-19T00:00:00Z,"Wild,Gull,",WOAH (former OIE),NA,NA,Confirmed,Gull,gull,SB
356594,Influenza - Avian,;H5N1 HPAI;,57.337,23.129,M RSRAGA PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Laridae,laridae,SB
356563,Influenza - Avian,;H5N1 HPAI;,57.437238,22.910262,ROJAS PARISH,Latvia,Europe,2023-06-21T00:00:00Z,2023-06-22T00:00:00Z,"Wild,Laridae (unidentified):Laridae (incognita)(Laridae),",WOAH (former OIE),NA,NA,Confirmed,Laridae,laridae,SB
