"Species","Habitat"
"buzzard","Unknown"
"bird","Unknown"
"Gull","CMB"
"Laridae","Unknown"
"Gull","CMB"
"DomesticChicken","Unknown"
"goose","Unknown"
"Mallard","FW"
"CaptiveAnatidae","Unknown"
"DomesticDuck","Unknown"
"gull","Unknown"
"gull","Unknown"
"Stork","FW"
"Swan","FW"
"Tern","CMB"
"Swan","FW"
"Quail","PO"
"CaptiveSwan","Unknown"
"weaver","Unknown"
"bird","Unknown"
"weaver","Unknown"
"bird","Unknown"
"tern","Unknown"
"Gull","CMB"
"gull","Unknown"
"DomesticDuckCaptiveSwan","Unknown"
"ibis","Unknown"
"Goose","FW"
"duck","Unknown"
"Mallard","FW"
"grebe","Unknown"
"grebe","Unknown"
"pochard","Unknown"
"gull","Unknown"
"DomesticOstrich","Unknown"
"Goose","FW"
"Mallard","FW"
"Razorbill","CMB"
"falcon","Unknown"
"swan","Unknown"
"Goose","FW"
"DomesticGoose","Unknown"
"Mallard","FW"
"heron","Unknown"
"Goose","FW"
"swan","Unknown"
"DomesticTurkey","Unknown"
"Gadwall","FW"
"pelican","Unknown"
"Pelecanidae","Unknown"
"pheasant","Unknown"
"Crow","TFO"
"bird","Unknown"
"Grebe","FW"
"Grebe","FW"
"buzzard","Unknown"
"duck","Unknown"
"swan","Unknown"
"Heron","FW"
"Heron","FW"
"swan","Unknown"
"Gadwall","FW"
"goose","Unknown"
"tern","Unknown"
"falcon","Unknown"
"grebe","Unknown"
"Accipitridae","Unknown"
"duckGullSwan","Unknown"
"Buzzard","TFO"
"DomesticChickenDomesticDuckDomesticGoose","Unknown"
"coot","Unknown"
"DomesticPartridge","Unknown"
"Goose","FW"
"duck","Unknown"
"DomesticTurkeyDomesticChicken","Unknown"
"moorhen","Unknown"
"CaptiveStorkCaptiveSwanCaptiveparrotCaptiveOwl","Unknown"
"duck","Unknown"
"duck","Unknown"
"duckGull","Unknown"
"duck","Unknown"
"duck","Unknown"
"leopard","Unknown"
"Ciconiidae","Unknown"
"grebe","Unknown"
"Heron","FW"
"Swan","FW"
"duck","Unknown"
"goose","Unknown"
"EgretCraneGull","Unknown"
"Swan","FW"
"flamingo","Unknown"
"Anatidae","Unknown"
"DomesticChickenDomesticDuck","Unknown"
"ducksDomesticGooseDomesticTurkey","Unknown"
"bird","Unknown"
"cormorant","Unknown"
"petrel","Unknown"
"pelican","Unknown"
"cormorant","Unknown"
"goose","Unknown"
"Booby","Unknown"
"Anatidae","Unknown"
"Accipitridae","Unknown"
"bird","Unknown"
"Anatidae","Unknown"
"Laridae","Unknown"
"Fox","TM"
"Heron","FW"
"Anserinae","Unknown"
"Accipitridae","Unknown"
"Strigidae","Unknown"
"Gruidae","Unknown"
"Anatidae","Unknown"
"bird","Unknown"
"Ardeidae","Unknown"
"Crow","TFO"
"ducksDomesticGooseDomesticPigeon","Unknown"
"HeronAnserinae","Unknown"
"SwanLaridae","Unknown"
"SwanAnserinae","Unknown"
"duck","Unknown"
"Phasianidae","Unknown"
"duck","Unknown"
"SwanAnatidae","Unknown"
"duck","Unknown"
"SwanLaridae","Unknown"
"Ciconiidae","Unknown"
"wigeon","Unknown"
"pochard","Unknown"
"Laridae","Unknown"
"SwanAnserinae","Unknown"
"duckSwanGullHeron","Unknown"
"Accipitridae","Unknown"
"Anserinae","Unknown"
"falcon","Unknown"
"buzzard-eagle","Unknown"
"egret","Unknown"
"Anserinae","Unknown"
"Laridae","Unknown"
"Gannet","MPB"
"Rook","TFO"
"duckGull","Unknown"
"Anatidae","Unknown"
"Crane","FW"
"Swan","FW"
"Anserinae","Unknown"
"Anserinae","Unknown"
"Laridae","Unknown"
"bird","Unknown"
"Anserinae","Unknown"
"SwanAnserinae","Unknown"
"Swan","FW"
"Sulids","Unknown"
"Cormorant","CMB"
"goose","Unknown"
"Anatidae","Unknown"
"CrowStrigidae","Unknown"
"SwanAnatidae","Unknown"
"Gruidae","Unknown"
"Laridae","Unknown"
"Anatidae","Unknown"
"Anatidae","Unknown"
"Duck","FW"
"Swan","FW"
"Anatidae","Unknown"
"Laridae","Unknown"
"Phasianidae","Unknown"
"raccoon","Unknown"
"CrowCranePhasianidae","Unknown"
"OwlHeron","Unknown"
"birdAnatidae","Unknown"
"Egret","FW"
"heron","Unknown"
"pelican","Unknown"
"gull","Unknown"
"gull","Unknown"
"Cormorant","CMB"
"CaptiveTiger","Unknown"
"GullAnatidae","Unknown"
"DomesticChickenDomesticDuckDomesticPigeon","Unknown"
"StorkCaptivePhasianidae","Unknown"
"GullSwan","Unknown"
"Cormorant","CMB"
"HeronCormorantSwanAnserinae","Unknown"
"bird","Unknown"
"Laridae","Unknown"
"SwanAnserinae","Unknown"
"pallidusSwan","Unknown"
"Pelecanidae","Unknown"
"Swallow","Unknown"
"Emu","Unknown"
"birdGull","Unknown"
"Phasianidae","Unknown"
"DomesticDuckDomesticChicken","Unknown"
"DomesticChickenDomesticPigeonDomesticDuck","Unknown"
"duckSwanGull","Unknown"
"bird","Unknown"
"CaptiveSwanCaptiveGooseDomesticChicken","Unknown"
"Passeridae","Unknown"
"Accipitridae","Unknown"
"Charadriidae","Unknown"
"Anserinae","Unknown"
"Laridae","Unknown"
"Haematopodidae","Unknown"
"Strigidae","Unknown"
"Coati","Unknown"
"Sandpiper","Unknown"
"Accipitridae","Unknown"
"Laridae","Unknown"
"Laridae","Unknown"
"Falcon","TFO"
"Anatidae","Unknown"
"Anatidae","Unknown"
"marten","Unknown"
"bird","Unknown"
"Charadriidae","Unknown"
"Laridae","Unknown"
"Scolopacidae","Unknown"
"SwanAnatidae","Unknown"
"Charadriidae","Unknown"
"albatross","Unknown"
"CraneSwanAnserinae","Unknown"
"fowl","Unknown"
"birdPasseridae","Unknown"
"HeronSwanAnatidae","Unknown"
"DomesticChickenDomesticTurkey","Unknown"
"QuailPhasianidae","Unknown"
"dove","Unknown"
"lion","Unknown"
"shag","Unknown"
"Duck","FW"
"Anatidae","Unknown"
"Anserinae","Unknown"
"Anatidae","Unknown"
"Owl","TFO"
"Skimmer","Unknown"
"Warbler","Unknown"
"mammal","Unknown"
"Anatidae","Unknown"
"Anatidae","Unknown"
"duck","Unknown"
"Anatidae","Unknown"
"GullAnatidae","Unknown"
"OwlAnatidae","Unknown"
"Anserinae","Unknown"
"pallidusAnatidae","Unknown"
"Threskiornithidae","Unknown"
"Laridae","Unknown"
"birdGoose","Unknown"
"Strigidae","Unknown"
"Accipitridae","Unknown"
"Swan","FW"
"Anatidae","Unknown"
"Anserinae","Unknown"
"Anserinae","Unknown"
"SwanLaridae","Unknown"
"duckSwan","Unknown"
"CrowStrigidae","Unknown"
"Gull","CMB"
"Anserinae","Unknown"
"Anatidae","Unknown"
"Anserinae","Unknown"
"Laridae","Unknown"
"DomesticTurkeyDomesticGooseDomesticDuck","Unknown"
"Laridae","Unknown"
"duck","Unknown"
"Gull","CMB"
"bird","Unknown"
"Laridae","Unknown"
"Laridae","Unknown"
"Laridae","Unknown"
"Laridae","Unknown"
"Laridae","Unknown"
"Crane","FW"
"Laridae","Unknown"
"Seal","CMM"
"DomesticPhasianidae","Unknown"
"Laridae","Unknown"
"Anatidae","Unknown"
"birdGullGoose","Unknown"
"GrebeLaridae","Unknown"
"Strigidae","Unknown"
"Anserinae","Unknown"
"bird","Unknown"
"birdGoose","Unknown"
"Anatidae","Unknown"
"Gull","CMB"
"Anatidae","Unknown"
"Accipitridae","Unknown"
"Strigidae","Unknown"
"Owl","TFO"
"Goose","FW"
"Gull","CMB"
"CaptiveStork","Unknown"
"SwanAccipitridae","Unknown"
"seal","Unknown"
"booby","Unknown"
"birdDomesticDuckDomesticChicken","Unknown"
"skua","Unknown"
"vulture","Unknown"
"Booby","Unknown"
"frigatebird","Unknown"
"Swan","FW"
"eagle","Unknown"
"Goose","FW"
"Peafowl","TFO"
"Fox","TM"
"Swan","FW"
"Goose","FW"
"Goose","FW"
"flamingo","Unknown"
"DomesticFowl","Unknown"
"wigeon","Unknown"
"Goose","FW"
"Gull","CMB"
"Eagle-Owl","Unknown"
"Corvidae","Unknown"
"birdDomesticSwine","Unknown"
"sample","Unknown"
"falcon","Unknown"
"grebe","Unknown"
"Grebe","FW"
"cormorant","Unknown"
"FoxSkunk","Unknown"
"DomesticCats","Unknown"
"Goose","FW"
"Goose","FW"
"Magpie","TFO"
"Skunk","Unknown"
"Goose","FW"
"owl","Unknown"
"Grebe","FW"
"Gull","CMB"
"CaptiveMallard","Unknown"
"Raven","TFO"
"owl","Unknown"
"Phasanidae","Unknown"
"Eider","Unknown"
"heron","Unknown"
"brachyrhynchos","Unknown"
"Mallard","FW"
"Eagle","TFO"
"Charadriidae","Unknown"
"Goose","FW"
"Hawk","TFO"
"hawk","Unknown"
"Duck","FW"
"pintail","Unknown"
"Charadriidae","Unknown"
"teal","Unknown"
"Pelican","CMB"
"hawk","Unknown"
"Grebe","FW"
"Goose","FW"
"Teal","FW"
"falcon","Unknown"
"Crow","TFO"
"Gannet","MPB"
"Wigeon","FW"
"pintail","Unknown"
"Goose","FW"
"gentilis","Unknown"
"Eider","Unknown"
"gull","Unknown"
"gull","Unknown"
"Owl","TFO"
"crow","Unknown"
"gull","Unknown"
"Goose","FW"
"murre","Unknown"
"tern","Unknown"
"Curlew","FW"
"Wigeon","FW"
"Gull","CMB"
"Phasianidae","Unknown"
"Swan","FW"
"brachyrhynchos","Unknown"
"Kittiwake","Unknown"
"Gannet","MPB"
"Gull","CMB"
"Razorbill","CMB"
"gull","Unknown"
"Gull","CMB"
"Magpie","TFO"
"Phasanidae","Unknown"
"merganser","Unknown"
"Gannet","MPB"
"Gull","CMB"
"CrowAnatidae","Unknown"
"Vulture","TFO"
"gooseGooseGoosander","Unknown"
