	Austria	Belgium	Bulgaria	Croatia	Cyprus	CzechRepublic	Denmark	Estonia	Finland	France	Germany	Greece	Hungary	Iceland	Ireland	Italy	Kosovo	Latvia	Macedonia	Moldova	Netherlands	Norway	Poland	Portugal	Romania	Russia	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	Ukraine	UnitedKingdom
Austria	1e-05	821.192197794583	1009.04532235815	273.536147226344	2085.92226232094	264.957804907718	1033.09365431256	1414.39732486461	1752.27730563045	964.574772069946	503.253155638959	1108.09109253914	375.570015217287	2782.85285677562	1734.03588887502	647.653438386365	740.253101606079	1244.92649067595	869.923410805553	1038.6173911444	839.336629596991	1494.62152549953	590.97704358084	2039.88837486123	813.161239574247	5556.41987786833	634.513727324483	403.692637864577	155.667057722072	1656.94235468056	1428.79455980423	484.737600431745	1240.06192495434	1517.05041838669
Belgium	821.192197794583	1e-05	1829.7071611999	1022.59253599799	2905.69985689667	789.562625976677	688.016499000944	1567.43048398438	1784.33901678626	509.26652820252	420.352196198929	1885.11943437236	1169.51828385437	2072.41895192562	912.84599485914	1175.73748047595	1548.55432049133	1474.81488815776	1674.81578779621	1774.11441561991	153.66146869896	1099.66276535417	1024.73653417016	1613.51511841704	1604.16726838528	5712.55092162649	1454.38356960367	1119.70512875921	934.805668801936	1319.40557228426	1360.24692446526	526.417849013898	1934.20895383609	729.280411709857
Bulgaria	1009.04532235815	1829.7071611999	1e-05	865.094307649455	1089.94251920164	1100.59050764639	1888.77234821443	1766.05280584061	2136.40301136077	1909.4239038663	1473.70891891876	510.557023676197	681.664853119765	3698.73533942507	2742.27330921457	1066.84063078041	375.288252938869	1575.96325439486	332.973383998011	567.863237929533	1835.89320150004	2283.24271585558	1127.90726164129	2834.34780260517	359.705344907491	5435.65092148856	389.482675542507	798.806001598413	915.482471759687	2434.46812502485	1991.23493941101	1434.06818285782	768.315043366647	2507.692743961
Croatia	273.536147226344	1022.59253599799	865.094307649455	1e-05	1900.96416771039	525.494873498828	1305.05960563354	1642.89186098665	1992.82288750418	1044.33114675831	761.400232618609	865.070449140423	403.494364468904	3036.61267001403	1925.74917358242	417.590173520384	535.461401501724	1464.38315707627	656.739250326215	1044.35389679052	1067.97354192031	1767.97905554216	812.623514499552	2023.36727391394	767.041498251582	5737.55768496348	475.956947913863	524.279159043703	118.080144980181	1627.43488550971	1688.44818534293	572.260216476947	1268.76911398103	1742.19061660194
Cyprus	2085.92226232094	2905.69985689667	1089.94251920164	1900.96416771039	1e-05	2190.46974616202	2967.89926788003	2685.10910907396	3031.63591871556	2920.46656104414	2562.3989684382	1119.08268733743	1771.60730435087	4778.22630112107	3817.76258799216	1960.06910071008	1365.50437348573	2511.01461172354	1247.41043227164	1430.78129410208	2921.19196401729	3338.74676996562	2187.52080218507	3687.98079973173	1399.01359003241	5696.40746854707	1451.5384417414	1882.42721854549	1974.35292367217	3298.91659051902	2980.28022856274	2469.53158616428	1487.06892162782	3595.58420514433
CzechRepublic	264.957804907718	789.562625976677	1100.59050764639	525.494873498828	2190.46974616202	1e-05	820.776573281283	1155.39878107243	1488.60317093062	1067.57709760548	385.921549379403	1296.88439028365	419.114262362171	2612.89537055191	1678.95531628522	912.609369657775	904.989018777396	991.311373600354	1034.85995010207	984.753929164426	758.011846105156	1265.35503121662	348.208721505392	2192.91589852466	828.785343232517	5315.30428739575	770.242276721519	332.658462361749	409.645978566745	1825.1677962067	1165.20741958066	631.391975105929	1152.73516300278	1414.46552972193
Denmark	1033.09365431256	688.016499000944	1888.77234821443	1305.05960563354	2967.89926788003	820.776573281283	1e-05	962.670513853544	1117.64503814139	1196.53983370332	571.043118032183	2117.46517715221	1223.10712471144	1810.72811587685	1177.22982115084	1617.34098547294	1725.26726779627	926.824792503607	1854.71880336069	1620.6494489231	535.250884402982	472.275879873179	792.781557562237	2283.02968693844	1570.56981341625	5035.92088129101	1586.74880318601	1090.04052985015	1188.25773554119	2005.63916044764	686.493851159271	1055.16873188095	1704.82130769377	813.802972303472
Estonia	1414.39732486461	1567.43048398438	1766.05280584061	1642.89186098665	2685.10910907396	1155.39878107243	962.670513853544	1e-05	372.792359019087	2037.44986025482	1241.79036394517	2184.99345993271	1324.35771375716	2368.37534126972	2124.28231177483	2054.18538326407	1803.02632873634	192.563158816105	1904.76761927809	1264.72902815908	1432.57087579605	954.13309821186	830.462052362858	3176.47345183268	1408.41759813897	4187.75065358429	1645.97789636065	1158.38456605555	1539.71049384516	2855.7155720445	399.424011217839	1722.4711061675	1206.81378185413	1748.16933195074
Finland	1752.27730563045	1784.33901678626	2136.40301136077	1992.82288750418	3031.63591871556	1488.60317093062	1117.64503814139	372.792359019087	1e-05	2279.25301742717	1513.83700816843	2557.68250893432	1690.17845386245	2205.2203236263	2200.87643900286	2398.14745778627	2174.65055060014	565.312452836642	2277.28542808035	1624.03829950586	1637.79646558176	937.77135894788	1182.35093085977	3395.16962169549	1779.7009951903	3928.87306588594	2017.40198923452	1522.91774871951	1885.51801361023	3099.15772774243	431.845054785871	2015.13407394001	1545.38252576307	1820.60762125982
France	964.574772069946	509.26652820252	1909.4239038663	1044.33114675831	2920.46656104414	1067.57709760548	1196.53983370332	2037.44986025482	2279.25301742717	1e-05	805.838664350114	1823.34593719631	1338.86410691972	2401.50973157787	1046.88593580691	1000.14421215223	1567.10486873221	1924.14056372764	1676.3608376377	2002.45969804568	662.893665310645	1602.18017486068	1381.82483134918	1147.52054468234	1771.02148337508	6207.48443588471	1520.20090820956	1352.5169243277	1006.71782342232	820.561469202308	1860.85437340544	484.316188849123	2197.54946873056	1044.88457151805
